"","Id","Screen_Name","Text","Time","Type","Retweeted_Id","Retweeted_Screen_Name","Reply_To_Id","Reply_To_Screen_Name","Deliveries","Total_Impressions","Retweets","Retweet_Impressions","Replies","Reply_Impressions","Tweet_URL","User_URL","dates","newrt"
"1",39445029156159488,"nihonmama","RT @gfry: @acarvin UNCONFIRMED report fo Saif Gaddafi flight to Venezuela with wound to shoulder",2011-02-20 22:03:00,"Retweet",39444788600254464,"gfry",NA,NA,800,800,0,0,0,0,"http://twitter.com/nihonmama/status/39445029156159488","http://twitter.com/nihonmama","2011-02-20",2011-02-20 22:00:00
"2",39445407155232768,"anontana","RT @gfry: @acarvin UNCONFIRMED report fo Saif Gaddafi flight to Venezuela with wound to shoulder",2011-02-20 22:04:00,"Retweet",39444788600254464,"gfry",NA,NA,292,292,0,0,0,0,"http://twitter.com/anontana/status/39445407155232771","http://twitter.com/anontana","2011-02-20",2011-02-20 22:00:00
"3",39445915932700672,"waleed1962","RT @akhbar: “@LabibaLaith: Gaddafi escaping to Venezuela?Caller:Businessman in Cairo Yassin AlBarki on BBC Arabic Apparently he's also i ...",2011-02-20 22:06:00,"Retweet",39443536768278528,"akhbar",NA,NA,258,258,0,0,0,0,"http://twitter.com/waleed1962/status/39445915932700672","http://twitter.com/waleed1962","2011-02-20",2011-02-20 22:00:00
"4",39445934458933248,"gilman100","RT @gfry: @acarvin UNCONFIRMED report fo Saif Gaddafi flight to Venezuela with wound to shoulder",2011-02-20 22:06:00,"Retweet",39444788600254464,"gfry",NA,NA,176,176,0,0,0,0,"http://twitter.com/gilman100/status/39445934458933248","http://twitter.com/gilman100","2011-02-20",2011-02-20 22:00:00
"5",39446178936528896,"chazzpm","RT @jchoufani: ... a lybian friend posted on facebook that #Gaddafi fled 2 Venezuela... Going back 2 check that... #Libya #Feb17",2011-02-20 22:07:00,"Retweet",NA,NA,NA,NA,392,392,0,0,0,0,"http://twitter.com/chazzpm/status/39446178936528896","http://twitter.com/chazzpm","2011-02-20",2011-02-20 22:00:00
"6",39446385329844224,"Zeinobia","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:08:00,"Retweet",39445905711177728,"jan15egy",NA,NA,10019,10019,0,0,0,0,"http://twitter.com/Zeinobia/status/39446385329844224","http://twitter.com/Zeinobia","2011-02-20",2011-02-20 22:00:00
"7",39446534097600512,"laki03","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:09:00,"Retweet",NA,NA,NA,NA,1348,1348,0,0,0,0,"http://twitter.com/laki03/status/39446534097600513","http://twitter.com/laki03","2011-02-20",2011-02-20 22:00:00
"8",39446662061625344,"nachoua","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:09:00,"Retweet",39445905711177728,"jan15egy",NA,NA,561,561,0,0,0,0,"http://twitter.com/nachoua/status/39446662061625344","http://twitter.com/nachoua","2011-02-20",2011-02-20 22:00:00
"9",39446666255933440,"AFilan","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:09:00,"Retweet",39445905711177728,"jan15egy",NA,NA,294,294,0,0,0,0,"http://twitter.com/AFilan/status/39446666255933440","http://twitter.com/AFilan","2011-02-20",2011-02-20 22:00:00
"10",39446667979792384,"dadlani","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:09:00,"Retweet",39445905711177728,"jan15egy",NA,NA,116,116,0,0,0,0,"http://twitter.com/dadlani/status/39446667979792384","http://twitter.com/dadlani","2011-02-20",2011-02-20 22:00:00
"11",39446722925170688,"Salxi","RT @tvbarada: “@tvbarada: “@tvbarada: News Kaddafi has fled to Venezuela in last half hour from reputable source in #Tripoli #Gaddafi #L ...",2011-02-20 22:10:00,"Retweet",39446249572798464,"tvbarada",NA,NA,242,242,0,0,0,0,"http://twitter.com/Salxi/status/39446722925170688","http://twitter.com/Salxi","2011-02-20",2011-02-20 22:00:00
"12",39446781985030144,"lysdeschamps","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:10:00,"Retweet",39445905711177728,"jan15egy",NA,NA,242,242,0,0,0,0,"http://twitter.com/lysdeschamps/status/39446781985030144","http://twitter.com/lysdeschamps","2011-02-20",2011-02-20 22:00:00
"13",39446787928506368,"karmel80","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:10:00,"Retweet",39445905711177728,"jan15egy",NA,NA,203,203,0,0,0,0,"http://twitter.com/karmel80/status/39446787928506368","http://twitter.com/karmel80","2011-02-20",2011-02-20 22:00:00
"14",39446890261123072,"carolaik","RT @haloefekti @gfry: @acarvin UNCONFIRMED report fo Saif Gaddafi flight to Venezuela with wound to shoulder",2011-02-20 22:10:00,"Retweet",NA,NA,39446033301901312,"haloefekti",731,731,0,0,0,0,"http://twitter.com/carolaik/status/39446890261123073","http://twitter.com/carolaik","2011-02-20",2011-02-20 22:00:00
"15",39447213755215872,"menfffin","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:12:00,"Retweet",39445905711177728,"jan15egy",NA,NA,33,33,0,0,0,0,"http://twitter.com/menfffin/status/39447213755215872","http://twitter.com/menfffin","2011-02-20",2011-02-20 22:00:00
"16",39447268037754880,"_praxis_","RT @Fiahor: Gaddafi fled to Venezuela? Already? And would Chavez be willing to take up the political cost of hosting this monster?",2011-02-20 22:12:00,"Retweet",39447181869977600,"Fiahor",NA,NA,27,27,0,0,0,0,"http://twitter.com/_praxis_/status/39447268037754881","http://twitter.com/_praxis_","2011-02-20",2011-02-20 22:00:00
"17",39447298106720256,"alexsandels","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:12:00,"Retweet",39445905711177728,"jan15egy",NA,NA,875,875,0,0,0,0,"http://twitter.com/alexsandels/status/39447298106720256","http://twitter.com/alexsandels","2011-02-20",2011-02-20 22:00:00
"18",39447299482595328,"lrwkd","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:12:00,"Retweet",39445905711177728,"jan15egy",NA,NA,25,25,0,0,0,0,"http://twitter.com/lrwkd/status/39447299482595329","http://twitter.com/lrwkd","2011-02-20",2011-02-20 22:00:00
"19",39447417673879552,"Beannietoo","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:12:00,"Retweet",39445905711177728,"jan15egy",NA,NA,29,29,0,0,0,0,"http://twitter.com/Beannietoo/status/39447417673879552","http://twitter.com/Beannietoo","2011-02-20",2011-02-20 22:00:00
"20",39447488868007936,"Perepeinard","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:13:00,"Retweet",39445905711177728,"jan15egy",NA,NA,590,590,0,0,0,0,"http://twitter.com/Perepeinard/status/39447488868007936","http://twitter.com/Perepeinard","2011-02-20",2011-02-20 22:00:00
"21",39447593297649664,"GraemeMcRanor","RT @SultanAlQassemi: Al Jazeera: Hussein Sadeq Al Misurati, Libyan Diplomat live on air: Gaddafi has left Libya & departed to Venezuela",2011-02-20 22:13:00,"Retweet",NA,NA,NA,NA,664,664,0,0,0,0,"http://twitter.com/GraemeMcRanor/status/39447593297649664","http://twitter.com/GraemeMcRanor","2011-02-20",2011-02-20 22:00:00
"22",39447652537999360,"grace8ming","RT @virtualactivism: This Libyan diplomat is claiming Gaddafi fled to Venezuela and that one of his sons is in ctrl now in #libya #aljazeera",2011-02-20 22:13:00,"Retweet",39447600360853504,"virtualactivism",NA,NA,93,93,0,0,0,0,"http://twitter.com/grace8ming/status/39447652537999360","http://twitter.com/grace8ming","2011-02-20",2011-02-20 22:00:00
"23",39447728907886592,"jeffq73","RT @dmataconis MT @SultanAlQassemi: Al Jazeera:Libyan Diplomat in Beijing live on air: Muamar Gaddafi has left Libya & departed to Venezuela",2011-02-20 22:14:00,"Retweet",NA,NA,NA,NA,2702,2702,0,0,0,0,"http://twitter.com/jeffq73/status/39447728907886592","http://twitter.com/jeffq73","2011-02-20",2011-02-20 22:00:00
"24",39448023461265408,"venezolanocomum","RT @padrenestor1945: Será CH capaz de darle asilo a Gadafi y sus seguidores aquí en Venezuela?",2011-02-20 22:15:00,"Retweet",39447825498648576,"padrenestor1945",NA,NA,330,330,0,0,0,0,"http://twitter.com/venezolanocomum/status/39448023461265408","http://twitter.com/venezolanocomum","2011-02-20",2011-02-20 22:00:00
"25",39448088737222656,"Leilysalas","RT @Fiahor: Gaddafi fled to Venezuela? Already? And would Chavez be willing to take up the political cost of hosting this monster?",2011-02-20 22:15:00,"Retweet",39447181869977600,"Fiahor",NA,NA,182,182,0,0,0,0,"http://twitter.com/Leilysalas/status/39448088737222656","http://twitter.com/Leilysalas","2011-02-20",2011-02-20 22:00:00
"26",39448105250336768,"griverordz","RT @jordipc: Un diplomático libio en Pekín que ha abandonado el régimen dice en Al Jazeera que Muamar Gadafi está en Venezuela (!) via @ ...",2011-02-20 22:15:00,"Retweet",39447933992701952,"jordipc",NA,NA,181,181,0,0,0,0,"http://twitter.com/griverordz/status/39448105250336768","http://twitter.com/griverordz","2011-02-20",2011-02-20 22:00:00
"27",39448116579016704,"Salxi","RT @jan15egy: #Libya #Fab17 #Tripoli Caller on BBC, Sounds of gun fire inside #Gadaffi palace area. Rumors that he has fled to #Venezuela",2011-02-20 22:15:00,"Retweet",39445905711177728,"jan15egy",NA,NA,242,242,0,0,0,0,"http://twitter.com/Salxi/status/39448116579016704","http://twitter.com/Salxi","2011-02-20",2011-02-20 22:00:00
