"","Id","Screen_Name","Original_Text","Time","Type","Retweeted_Id","Retweeted_Screen_Name","Reply_To_Id","Reply_To_Screen_Name","Deliveries","Total_Impressions","Retweets","Retweet_Impressions","Replies","Reply_Impressions","Tweet_URL","User_URL","dates","row","newt"
"1",39716068054409216,"JulioCe_TFC","Hola Gadafi esta en venezuela acabo de hablar con el.... Xd",2011-02-21 16:00:00,"Regular",NA,NA,NA,NA,399,399,0,0,0,0,"http://twitter.com/JulioCe_TFC/status/39716068054409216","http://twitter.com/JulioCe_TFC","2011-02-21",288801,2011-02-21 16:00:00
"2",39716411572092928,"VillalbaJG","Gadafi previa su caída y tal vez dejó aquí en Venezuela La Carpa para vivir como damnificado.Pa' q sepáis",2011-02-21 16:01:00,"Regular",NA,NA,NA,NA,913,913,0,0,0,0,"http://twitter.com/VillalbaJG/status/39716411572092928","http://twitter.com/VillalbaJG","2011-02-21",288926,2011-02-21 16:00:00
"3",39716651305795584,"radio_santiago","Gaddafi podría asilarse en la Venezuela de su amigo Chàvez http://t.co/Zv67EGD vía @radio_santiago",2011-02-21 16:02:00,"Regular",NA,NA,NA,NA,693,693,0,0,0,0,"http://twitter.com/radio_santiago/status/39716651305795584","http://twitter.com/radio_santiago","2011-02-21",289020,2011-02-21 16:00:00
"4",39717941268324352,"manycero","El mico debería subastar la carpa de Gadafi q le instalaron en su última visita a Venezuela obtendría buen dinero para sus arcas vacias",2011-02-21 16:07:00,"Regular",NA,NA,NA,NA,14,14,0,0,0,0,"http://twitter.com/manycero/status/39717941268324352","http://twitter.com/manycero","2011-02-21",289648,2011-02-21 16:00:00
"5",39717971714641920,"menasergio","Gadafi ha huido a Venezuela http://bit.ly/fqrmIv",2011-02-21 16:07:00,"Regular",NA,NA,NA,NA,65,65,0,0,0,0,"http://twitter.com/menasergio/status/39717971714641920","http://twitter.com/menasergio","2011-02-21",289658,2011-02-21 16:00:00
"6",39718065637830656,"Habeklybeen","@EnoughGaddafi Venezuelan friends that are reporters say that Gaddafi is headed to Russia and not toward their country. Will update",2011-02-21 16:08:00,"Reply",NA,NA,39713031537704960,"EnoughGaddafi",1,1,0,0,0,0,"http://twitter.com/Habeklybeen/status/39718065637830658","http://twitter.com/Habeklybeen","2011-02-21",289697,2011-02-21 16:00:00
"7",39718426742226944,"test_actualidad","he leído que un diplomático libio afirma que Gadafi va camino de Venezuela. cc/ @anapastor_tve @apropios_rne",2011-02-21 16:09:00,"Reply",NA,NA,39718053910548480,"anapastor_tve",320,320,0,0,0,0,"http://twitter.com/test_actualidad/status/39718426742226944","http://twitter.com/test_actualidad","2011-02-21",289837,2011-02-21 16:00:00
"8",39718455162843136,"Habeklybeen","@ShababLibya Venezuelan friends that are reporters indicate that rumors place Gaddafi heading to Russia not Ven. Will update",2011-02-21 16:09:00,"Reply",NA,NA,39707230538309632,"ShababLibya",1,1830,1,1829,0,0,"http://twitter.com/Habeklybeen/status/39718455162843136","http://twitter.com/Habeklybeen","2011-02-21",289851,2011-02-21 16:00:00
"9",39718598654181376,"southwestbriton","@_Capitalism_ @TheCornishRep Mubarak was a member of Socialist International, Gaddafi had fled to socialist haven Venezuela...",2011-02-21 16:10:00,"Reply",NA,NA,39709594188128256,"_Capitalism_",1,1,0,0,0,0,"http://twitter.com/southwestbriton/status/39718598654181376","http://twitter.com/southwestbriton","2011-02-21",289914,2011-02-21 16:00:00
"10",39719309068476416,"Storrealba09","@hectorcitox  es cierto eso de Gadafi en Venezuela?",2011-02-21 16:13:00,"Reply",NA,NA,39718285054451712,"hectorcitox",1,1,0,0,0,0,"http://twitter.com/Storrealba09/status/39719309068476417","http://twitter.com/Storrealba09","2011-02-21",290177,2011-02-21 16:00:00
"11",39719356522962944,"humorenserio","http://www.elespectador.com/noticias/elmundo/articulo-252114-gadafi-huyo-venezuela-dice-diplomatico-libio",2011-02-21 16:13:00,"Regular",NA,NA,NA,NA,105,105,0,0,0,0,"http://twitter.com/humorenserio/status/39719356522962944","http://twitter.com/humorenserio","2011-02-21",290198,2011-02-21 16:00:00
"12",39719709708386304,"linguanera","#Gaddafi has proved to be a good friend: he has gone to venezuela for scouting girls for the hArdcore carnival party at #BungaBunga room",2011-02-21 16:14:00,"Regular",NA,NA,NA,NA,175,175,0,0,0,0,"http://twitter.com/linguanera/status/39719709708386305","http://twitter.com/linguanera","2011-02-21",290356,2011-02-21 16:00:00
"13",39719992568061952,"estoische","Gadafi ha huido hacia Venezuela, según un diplomático libio. europapress.es http://bit.ly/fC8Ix7",2011-02-21 16:15:00,"Regular",NA,NA,NA,NA,966,1586,1,620,0,0,"http://twitter.com/estoische/status/39719992568061952","http://twitter.com/estoische","2011-02-21",290465,2011-02-21 16:00:00
"14",39720503388143616,"informeo","@chavezcandanga @correoorinoco @tomaodame ¿Estará Gadafi en Venezuela?   | informeonline.com http://t.co/5CC2e4j",2011-02-21 16:18:00,"Reply",NA,NA,NA,"chavezcandanga",1,1,0,0,0,0,"http://twitter.com/informeo/status/39720503388143616","http://twitter.com/informeo","2011-02-21",290679,2011-02-21 16:00:00
"15",39721599062122496,"kostadelaluz","http://www.radiosantiago.cl/news.php?idnews=3596 Gaddafi en Venezuela",2011-02-21 16:22:00,"Regular",NA,NA,NA,NA,28,28,0,0,0,0,"http://twitter.com/kostadelaluz/status/39721599062122496","http://twitter.com/kostadelaluz","2011-02-21",291145,2011-02-21 16:00:00
"16",39721619349970944,"NaylaTahanAttie","Gaddafi podría asilarse en la Venezuela de su amigo Chàvez http://t.co/pVemYqQ via @radio_santiago",2011-02-21 16:22:00,"Regular",NA,NA,NA,NA,10,10,0,0,0,0,"http://twitter.com/NaylaTahanAttie/status/39721619349970944","http://twitter.com/NaylaTahanAttie","2011-02-21",291155,2011-02-21 16:00:00
"17",39722142010576896,"IzzyWizzy22","From BBC news, reports that perhaps Gaddafi may have fled to Venezuela or Brazil.",2011-02-21 16:24:00,"Regular",NA,NA,NA,NA,15,15,0,0,0,0,"http://twitter.com/IzzyWizzy22/status/39722142010576896","http://twitter.com/IzzyWizzy22","2011-02-21",291381,2011-02-21 16:00:00
