"","Id","Screen_Name","Text","Time","Type","Retweeted_Id","Retweeted_Screen_Name","Reply_To_Id","Reply_To_Screen_Name","Deliveries","Total_Impressions","Retweets","Retweet_Impressions","Replies","Reply_Impressions","Tweet_URL","User_URL","dates","newrt"
"1",39716104938987520,"Maripuerta","RT @Dima_Khatib: El rumor sobre Gaddafi ----&gt; Venezuela sale de dos opositores libios que querían dar la impresión de que ya se había ...",2011-02-21 16:00:00,"Retweet",39682104510005248,"Dima_Khatib",NA,NA,1856,1856,0,0,0,0,"http://twitter.com/Maripuerta/status/39716104938987520","http://twitter.com/Maripuerta","2011-02-21",2011-02-21 16:00:00
"2",39716114158206976,"GIORDANIJOSE","RT @AlbertoRavell: Recuerdan la gran carpa que Gadafi le regalo al Gobierno de Venezuela cuando estuvo en Margarita.Amistades peligrosas.",2011-02-21 16:00:00,"Retweet",39108310565257216,"AlbertoRavell",NA,NA,747,747,0,0,0,0,"http://twitter.com/GIORDANIJOSE/status/39716114158206977","http://twitter.com/GIORDANIJOSE","2011-02-21",2011-02-21 16:00:00
"3",39716874698752000,"Maripuerta","RT @Dima_Khatib: El rumor que salió ayer sobre Gaddafi --&gt; Venezuela fue pura táctica política. Yo personalmente no me lo creí ni un  ...",2011-02-21 16:03:00,"Retweet",39676155695087616,"Dima_Khatib",NA,NA,1856,1856,0,0,0,0,"http://twitter.com/Maripuerta/status/39716874698752000","http://twitter.com/Maripuerta","2011-02-21",2011-02-21 16:00:00
"4",39717291478224896,"IslaNews","RT @lety_chavez: Rumoran que #Gaddafi prefiere ir a #Venezuela, porque ahí tiene chofer http://t.co/fBV8Ll8 Video Cortesía @IslaNews @Ch ...",2011-02-21 16:05:00,"Retweet",39489040340226048,"lety_chavez",NA,NA,402,402,0,0,0,0,"http://twitter.com/IslaNews/status/39717291478224896","http://twitter.com/IslaNews","2011-02-21",2011-02-21 16:00:00
"5",39720481569378304,"MonotonePrime","RT @iran_news_in: Gaddafi has fled Tripoli to Venezuela. Tripoli under fire <U+0637><U+0631><U+0627><U+0628><U+0644><U+0633> Turkish Airlines can't landing in Libya.  ¦¦¦¦R¦T¦¦¦¦ ...",2011-02-21 16:17:00,"Retweet",39668859791351808,"iran_news_in",NA,NA,1,1,0,0,0,0,"http://twitter.com/MonotonePrime/status/39720481569378304","http://twitter.com/MonotonePrime","2011-02-21",2011-02-21 16:00:00
"6",39721742977077248,"SONIAGUANIPAR","RT @Habeklybeen: @ShababLibya Venezuelan friends that are reporters indicate that rumors place Gaddafi heading to Russia not Ven. Will u ...",2011-02-21 16:22:00,"Retweet",39718455162843136,"Habeklybeen",NA,NA,1829,1829,0,0,0,0,"http://twitter.com/SONIAGUANIPAR/status/39721742977077248","http://twitter.com/SONIAGUANIPAR","2011-02-21",2011-02-21 16:00:00
"7",39722559440289792,"cate_long","RT @jsphctrl: Um, wow - William Hague just said 'seen info to suggest' that Gaddafi on his way to Venezuela",2011-02-21 16:26:00,"Retweet",39722481719844864,"jsphctrl",NA,NA,1204,1204,0,0,0,0,"http://twitter.com/cate_long/status/39722559440289792","http://twitter.com/cate_long","2011-02-21",2011-02-21 16:00:00
"8",39723021350600704,"jblokzijl","RT @SultanAlQassemi: Breaking Al Arabiya: British Foreign Minister: Intel reports of Gaddafi on his way to Venezuela",2011-02-21 16:28:00,"Retweet",39722985006972928,"SultanAlQassemi",NA,NA,930,930,0,0,0,0,"http://twitter.com/jblokzijl/status/39723021350600704","http://twitter.com/jblokzijl","2011-02-21",2011-02-21 16:00:00
"9",39723021631627264,"zerohedge","RT @SultanAlQassemi: Breaking Al Arabiya: British Foreign Minister: Intel reports of Gaddafi on his way to Venezuela",2011-02-21 16:28:00,"Retweet",39722985006972928,"SultanAlQassemi",NA,NA,18805,18805,0,0,0,0,"http://twitter.com/zerohedge/status/39723021631627264","http://twitter.com/zerohedge","2011-02-21",2011-02-21 16:00:00
"10",39723045262327808,"CampaignReboot","RT @chrisalbon: RT @SultanAlQassemi: Breaking Al Arabiya: British Foreign Minister: Intel reports of Gaddafi on his way to Venezuela",2011-02-21 16:28:00,"Retweet",NA,NA,NA,NA,181,181,0,0,0,0,"http://twitter.com/CampaignReboot/status/39723045262327808","http://twitter.com/CampaignReboot","2011-02-21",2011-02-21 16:00:00
